block,floor,unit,unit_id,unit_type,parent_unit,verified,note
P4,16,1607,P4-1607,flat,,ASSUMED_NOT_VERIFIED,X07 hidden in picker (as in P1) - assumed to exist
P4,16,1608,P4-1608,flat,,ASSUMED_NOT_VERIFIED,GENERATED FROM ASSUMPTION - not seen in any screenshot
P4,17,1701,P4-1701,flat,,ASSUMED_NOT_VERIFIED,GENERATED FROM ASSUMPTION - not seen in any screenshot
P4,17,1702,P4-1702,flat,,ASSUMED_NOT_VERIFIED,GENERATED FROM ASSUMPTION - not seen in any screenshot
P4,17,1703,P4-1703,flat,,ASSUMED_NOT_VERIFIED,GENERATED FROM ASSUMPTION - not seen in any screenshot
P4,17,1704,P4-1704,flat,,ASSUMED_NOT_VERIFIED,GENERATED FROM ASSUMPTION - not seen in any screenshot
P4,17,1705,P4-1705,flat,,ASSUMED_NOT_VERIFIED,GENERATED FROM ASSUMPTION - not seen in any screenshot
P4,17,1706,P4-1706,flat,,ASSUMED_NOT_VERIFIED,GENERATED FROM ASSUMPTION - not seen in any screenshot
P4,17,1707,P4-1707,flat,,ASSUMED_NOT_VERIFIED,X07 hidden in picker (as in P1) - assumed to exist
P4,17,1708,P4-1708,flat,,ASSUMED_NOT_VERIFIED,GENERATED FROM ASSUMPTION - not seen in any screenshot
P4,18,1801,P4-1801,flat,,ASSUMED_NOT_VERIFIED,GENERATED FROM ASSUMPTION - not seen in any screenshot
P4,18,1802,P4-1802,flat,,ASSUMED_NOT_VERIFIED,GENERATED FROM ASSUMPTION - not seen in any screenshot
P4,18,1803,P4-1803,flat,,ASSUMED_NOT_VERIFIED,GENERATED FROM ASSUMPTION - not seen in any screenshot
P4,18,1804,P4-1804,flat,,ASSUMED_NOT_VERIFIED,GENERATED FROM ASSUMPTION - not seen in any screenshot
P4,18,1805,P4-1805,flat,,ASSUMED_NOT_VERIFIED,GENERATED FROM ASSUMPTION - not seen in any screenshot
P4,18,1806,P4-1806,flat,,ASSUMED_NOT_VERIFIED,GENERATED FROM ASSUMPTION - not seen in any screenshot
P4,18,1807,P4-1807,flat,,ASSUMED_NOT_VERIFIED,X07 hidden in picker (as in P1) - assumed to exist
P4,18,1808,P4-1808,flat,,ASSUMED_NOT_VERIFIED,GENERATED FROM ASSUMPTION - not seen in any screenshot
